Variable Name,FieldOfStudyData1415_1516 datafile,FieldOfStudyData1516_1617 datafile,FieldOfStudyData1617_1718 datafile,FieldOfStudyData1718_1819 datafile,FieldOfStudyData1819_1920 datafile,FieldOfStudyData1920_2021 datafile,FieldOfStudyData2021_2122 datafile,FieldOfStudyData2122_2223 datafile,FieldOfStudyMostRecent datafile,,,,,,,,,,
EARN_COUNT_NOPELL_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_NOPELL_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_MALE_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_MALE_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NOMALE_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_NOMALE_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_WNE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_CNTOVER150_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_COUNT_PELL_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_PELL_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NOPELL_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_MALE_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_MALE_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NOMALE_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NOMALE_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NWNE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_WNE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_MDN_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_GT_THRESHOLD_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_HIGH_CRED_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_IN_STATE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_NWNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_COUNT_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,"Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023","Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023",,,,,,,,,,
EARN_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,"Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023, inflation adjusted to 2024 dollars","Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023, inflation adjusted to 2024 dollars",,,,,,,,,,
EARN_GT_THRESHOLD_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_COUNT_PELL_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_PELL_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_NOPELL_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
EARN_COUNT_MALE_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_MALE_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
EARN_COUNT_NOMALE_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_NOMALE_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
EARN_COUNT_HIGH_CRED_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_IN_STATE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
BBRR1_FED_COMP_N,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_DFLT,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_DLNQ,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_FBR,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_DFR,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_NOPROG,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_MAKEPROG,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_PAIDINFULL,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR1_FED_COMP_DISCHARGE,NA,NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2018-2019, AY2019-2020 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_N,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_DFLT,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_DLNQ,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_FBR,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_DFR,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_NOPROG,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_MAKEPROG,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_PAIDINFULL,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
BBRR4_FED_COMP_DISCHARGE,NA,NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",NA,NA,NA,"NSLDS AY2015-2016, AY2016-2017 pooled cohorts measured in 2019-2020, 2020-2021",,,,,,,,,,
DISTANCE,AY2015-16 reported in IPEDS DCY2016-17,AY2016-17 reported in IPEDS DCY2017-18,AY2017-18 reported in IPEDS DCY2018-19,AY2018-19 reported in IPEDS DCY2019-20,AY2019-20 reported in IPEDS DCY2020-21,AY2020-21 reported in IPEDS DCY2021-22,AY2021-22 reported in IPEDS DCY2022-23,AY2022-23 reported in IPEDS DCY2023-24,AY2022-23 reported in IPEDS DCY2023-24,,,,,,,,,,
EARN_COUNT_NWNE_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_WNE_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_MDN_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_GT_THRESHOLD_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_PELL_WNE_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_PELL_WNE_MDN_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_WNE_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_NOPELL_WNE_MDN_5YR,NA,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
